fromControl,toControl
AC-21,5.1.1
CA-3,5.1.1
SA-2,5.1.1
SA-4,5.1.1
AC-21,5.1.1.2
CA-3,5.1.1.2
SA-2,5.1.1.2
SA-4,5.1.1.2
SA-4(1),5.1.1.2
SA-9,5.1.1.2
AC-21,5.1.1.3
SA-2,5.1.1.6
SA-4,5.1.1.6
SA-4(1),5.1.1.6
SA-9,5.1.1.6
PE-3,5.1.1.7
PS-1,5.1.1.7
PS-2,5.1.1.7
PS-3,5.1.1.7
PS-6,5.1.1.7
PS-7,5.1.1.7
CA-8,5.1.1.7
AC-21,5.1.1.8
CA-3,5.1.1.8
SA-2,5.1.1.8
SA-4,5.1.1.8
SA-4(1),5.1.1.8
SA-9,5.1.1.8
RA-3,5.1.2
SA-9,5.1.2
SA-9(1),5.1.2
CA-7,5.1.2
RA-3,5.1.2.1
PS-3,5.1.3
PS-6,5.1.3
PS-7,5.1.3
PS-3,5.1.4
PS-6,5.1.4
PS-7,5.1.4
AT-1,5.2.1
PL-4,5.2.1
PL-4(1),5.2.1
AT-2,5.2.1
AT-3,5.2.1
IR-2,5.2.1
AT-2,5.2.1.1
AT-3,5.2.1.1
IR-2,5.2.1.1
PE-1,5.2.1.1
PL-4,5.2.1.1
PL-4(1),5.2.1.1
AT-2(2),5.2.1.2
AT-3,5.2.1.2
PL-4,5.2.1.2
PL-4(1),5.2.1.2
MP-1,5.2.1.2
AT-2(2),5.2.1.3
AT-3,5.2.1.3
PL-4,5.2.1.3
PL-4(1),5.2.1.3
CM-1,5.2.1.3
CM-9,5.2.1.3
CM-10,5.2.1.3
CM-11,5.2.1.3
IA-1,5.2.1.3
PE-1,5.2.1.3
PS-6,5.2.1.3
AT-3,5.2.1.4
CM-10,5.2.1.4
CM-9,5.2.1.4
CP-3,5.2.1.4
IR-2,5.2.1.4
PS-6,5.2.1.4
AT-2,5.2.2
AT-3,5.2.2
AT-4,5.2.3
PL-4,5.2.3
IR-1,5.3
IR-4,5.3
IR-5,5.3
IR-6,5.3
IR-8,5.3
IR-4,5.3.1
IR-4(1),5.3.1
IR-4(4),5.3.1
IR-5,5.3.1
IR-5(1),5.3.1
IR-6,5.3.1
IR-6(1),5.3.1
IR-6(2),5.3.1
IR-8,5.3.1
IR-7,5.3.1
IR-7,5.3.1.1.1
IR-7(1),5.3.1.1.1
IR-7(2),5.3.1.1.1
IR-1,5.3.1.1.2
IR-4,5.3.1.1.2
IR-5,5.3.1.1.2
IR-6,5.3.1.1.2
IR-7,5.3.1.1.2
IR-7(2),5.3.1.1.2
AU-2,5.4.1
AU-3,5.4.1
AU-3(1),5.4.1
AU-6,5.4.1
AU-6(1),5.4.1
AU-6(3),5.4.1
AU-12,5.4.1
CA-2,5.4.1
CA-7,5.4.1
SI-4,5.4.1
AC-2(4),5.4.1
AC-6(9),5.4.1.1
AC-9,5.4.1.1
AU-2,5.4.1.1
AU-12,5.4.1.1
CA-7,5.4.1.1
SI-4,5.4.1.1
AC-2(4),5.4.1.1
AC-17(1),5.4.1.1
AU-12, 5.4.1.1.1
AU-5,5.4.2
AU-5(2),5.4.2
AU-6,5.4.3
AU-6(1),5.4.3
AU-6(3),5.4.3
AU-7,5.4.3
CA-2,5.4.3
CA-7,5.4.3
AU-8,5.4.4
AU-9,5.4.5
AU-9(4),5.4.5
AU-4,5.4.6
AU-5(1),5.4.6
AU-9(2),5.4.6
AU-11,5.4.6
AU-4,5.4.7
AU-11,5.4.7
AC-2,5.5.1
AC-5,5.5.1
IR-8,5.5.1
AC-2(1),5.5.1
AC-2(2),5.5.1
AC-2(3),5.5.1
AC-2(4),5.5.1
PS-4,5.5.1
AC-2,5.5.2
AC-2(1),5.5.2
AC-2(7),5.5.2
AC-3,5.5.2
AC-3(3),5.5.2
AC-3(4),5.5.2
AC-5,5.5.2
AC-6,5.5.2
AC-6(1),5.5.2
AC-6(2),5.5.2
AC-12(1),5.5.2
SC-23(1),5.5.2
SC-23(3),5.5.2
AC-2,5.5.2.1
AC-2(4),5.5.2.1
AC-2(7),5.5.2.1
AC-6(1),5.5.2.1
AC-6(2),5.5.2.1
AC-2,5.5.2.2
AC-2(4),5.5.2.2
AC-2(7),5.5.2.2
AC-3,5.5.2.2
AC-5,5.5.2.2
AC-6,5.5.2.3
AC-6(5),5.5.2.3
AC-6(9),5.5.2.3
AC-10,5.5.2.3
RA-5(5),5.5.2.3
AC-2,5.5.2.4
AC-2(4),5.5.2.4
AC-2(7),5.5.2.4
AC-3,5.5.2.4
AC-5,5.5.2.4
AC-6,5.5.2.4
AC-6(5),5.5.2.4
AC-6(9),5.5.2.4
AC-10,5.5.2.4
RA-5(5),5.5.2.4
SC-28,5.5.2.4
AC-4,5.5.2.4
AC-7,5.5.3
IA-5(1),5.5.3
AC-8,5.5.4
AC-11(1),5.5.4
AC-22,5.5.4
AC-11,5.5.5
AC-11(1),5.5.5
AC-17,5.5.6
AC-17(3),5.5.6
AC-17(4),5.5.6
AC-17(6),5.5.6
SI-4,5.5.6
AC-17(1),5.5.6
AC-17(2),5.5.6
AC-17,5.5.6.1
AC-20,5.5.6.1
AC-17,5.5.6.2
AC-22,5.5.6.2
IA-1,5.6.1
IA-2,5.6.1
IA-2(5),5.6.1
SC-16,5.6.1.1
AC-3,5.6.1.1
AC-4,5.6.1.1
IA-1,5.6.2
IA-2,5.6.2
IA-2(8),5.6.2
IA-3,5.6.2
IA-5,5.6.2.1
IA-5(1),5.6.2.1
IA-5(5),5.6.2.1
IA-6,5.6.2.1
IA-5(6),5.6.2.1
IA-5,5.6.2.1.1
IA-5(1),5.6.2.1.1
IA-5,5.6.2.1.1.1
IA-5(1),5.6.2.1.1.1
IA-5,5.6.2.1.1.2
IA-5(1),5.6.2.1.1.2
IA-5,5.6.2.1.2
IA-5(1),5.6.2.1.2
IA-2(1),5.6.2.1.2
IA-2(2),5.6.2.1.2
IA-2(8),5.6.2.1.2
IA-2(12),5.6.2.1.2
IA-2(1),5.6.2.1.3
IA-2(2),5.6.2.1.3
IA-2(8),5.6.2.1.3
IA-2(12),5.6.2.1.3
IA-5(1),5.6.2.1.3
IA-12(4),5.6.2.1.3
IA-5(5),5.6.2.1.3
SC-37,5.6.2.1.3
SC-37(1),5.6.2.1.3
IA-2(1),5.6.2.2
IA-2(2),5.6.2.2
IA-2(13),5.6.2.2
IA-3(1),5.6.2.2
IA-5(2),5.6.2.2
MA-1,5.6.2.2
MA-4,5.6.2.2
SC-37,5.6.2.2
SC-37(1),5.6.2.2
SC-12,5.6.2.2
IA-2(1),5.6.2.2.1
IA-2(2),5.6.2.2.1
IA-3(1),5.6.2.2.1
IA-5(2),5.6.2.2.1
MA-1,5.6.2.2.1
MA-4,5.6.2.2.1
IA-2(1),5.6.2.2.1
IA-2(2),5.6.2.2.1
IA-3(1),5.6.2.2.1
IA-5(2),5.6.2.2.1
MA-1,5.6.2.2.1
MA-4,5.6.2.2.1
IA-4,5.6.3
IA-4(4),5.6.3
IA-5,5.6.3
IA-5(8),5.6.3
IA-8,5.6.3
IA-12,5.6.3
AC-2(3),5.6.3.1
IA-4,5.6.3.1
IA-4(4),5.6.3.1
IA-5(8),5.6.3.1
IA-8,5.6.3.1
IA-12,5.6.3.1
AC-3,5.6.3.1
IA-5,5.6.3.2
IA-5(6),5.6.3.2
IA-5(8),5.6.3.2
IA-2(12),5.6.4
IA-8(1),5.6.4
IA-8(2),5.6.4
CM-3,5.7.1
CM-8(1),5.7.2
CM-9,5.7.2
SA-4,5.7.2
SA-5,5.7.2
SI-7,5.7.2
CP-9,5.7.2
PL-2,5.7.2
AC-20(2),5.8.1
CP-6,5.8.1
CP-7,5.8.1
MA-3(3),5.8.1
MP-2,5.8.1
MP-3,5.8.1
MP-4,5.8.1
SC-28,5.8.1
MP-1,5.8.1
MA-5,5.9.1.2
PE-2,5.9.1.2
PE-2(1),5.9.1.2
PE-3,5.9.1.2
CA-8,5.9.1.3
PE-3,5.9.1.3
PE-3(3),5.9.1.3
PE-4,5.9.1.4
PE-5,5.9.1.5
CA-8,5.9.1.6
PE-3,5.9.1.6
PE-5,5.9.1.6
PE-6,5.9.1.6
PE-6(1),5.9.1.6
PE-2(3),5.9.1.7
PE-3,5.9.1.7
PE-2,5.9.1.8
PE-8,5.9.1.8
PE-16,5.9.1.8
PE-2,5.9.2
PE-5,5.9.2
AC-4,5.10.1
AC-20,5.10.1
AC-20(1),5.10.1
CA-3,5.10.1
CA-9,5.10.1
IA-5(7),5.10.1
SC-7(4),5.10.1
SC-7(8),5.10.1
SC-7(11),5.10.1
SC-10,5.10.1
SC-15,5.10.1
SC-15(1),5.10.1
AC-20,5.10.1.1
CA-8,5.10.1.1
PE-3(2),5.10.1.1
SC-5,5.10.1.1
SC-5(1),5.10.1.1
SC-5(2),5.10.1.1
SC-7,5.10.1.1
SC-7(3),5.10.1.1
SC-7(4),5.10.1.1
SC-7(5),5.10.1.1
SC-7(7),5.10.1.1
SC-7(8),5.10.1.1
SC-7(11),5.10.1.1
SC-7(12),5.10.1.1
SC-7(13),5.10.1.1
SC-7(14),5.10.1.1
SC-7(18),5.10.1.1
SC-24,5.10.1.1
PE-3,5.10.1.1
AC-17(2),5.10.1.2
IA-7,5.10.1.2
MA-4(6),5.10.1.2
SC-8,5.10.1.2
SC-8(1),5.10.1.2
SC-8(2),5.10.1.2
SC-11,5.10.1.2
SC-12,5.10.1.2
SC-12(1),5.10.1.2
SC-12(2),5.10.1.2
SC-12(3),5.10.1.2
SC-13,5.10.1.2
SC-17,5.10.1.2
SC-28,5.10.1.2
SC-28(1),5.10.1.2
SI-7(6),5.10.1.2
AC-17(2),5.10.1.2.1
IA-7,5.10.1.2.1
MA-4(6),5.10.1.2.1
SC-8,5.10.1.2.1
SC-8(1),5.10.1.2.1
SC-8(2),5.10.1.2.1
SC-11,5.10.1.2.1
SC-12,5.10.1.2.1
SC-12(1),5.10.1.2.1
SC-12(2),5.10.1.2.1
SC-13,5.10.1.2.1
SC-28,5.10.1.2.1
SC-28(1),5.10.1.2.1
SI-7(6),5.10.1.2.1
AC-17(2),5.10.1.2.2
IA-7,5.10.1.2.2
SC-12,5.10.1.2.2
SC-12(1),5.10.1.2.2
SC-12(2),5.10.1.2.2
SC-13,5.10.1.2.2
SC-28,5.10.1.2.2
SC-28(2),5.10.1.2.2
SI-7(6),5.10.1.2.2
IA-2(1),5.10.1.2.3
IA-2(2),5.10.1.2.3
IA-5(2),5.10.1.2.3
IA-5(10),5.10.1.2.3
IA-7,5.10.1.2.3
IA-8(1),5.10.1.2.3
IA-8(5),5.10.1.2.3
SC-12(1),5.10.1.2.3
SC-12(3),5.10.1.2.3
SC-13,5.10.1.2.3
SC-17,5.10.1.2.3
SC-28(2),5.10.1.2.3
SI-7(6),5.10.1.2.3
SC-7(19),5.10.1.3
SI-4,5.10.1.3
SI-4(1),5.10.1.3
SI-4(2),5.10.1.3
SI-4(4),5.10.1.3
SI-4(5),5.10.1.3
SI-4(7),5.10.1.3
SI-4(9),5.10.1.3
SI-4(11),5.10.1.3
SI-4(12),5.10.1.3
SI-7,5.10.1.3
SI-7(1),5.10.1.3
SI-7(7),5.10.1.3
AC-17,5.10.1.5
AC-17(1),5.10.1.5
AC-17(2),5.10.1.5
AC-17(3),5.10.1.5
PS-7,5.10.1.5
SC-2,5.10.1.5
SC-2(1),5.10.1.5
SC-3,5.10.1.5
SC-4,5.10.1.5
SC-5,5.10.1.5
SC-5(1),5.10.1.5
SC-5(2),5.10.1.5
SC-5(3),5.10.1.5
SC-6,5.10.1.5
SC-7,5.10.1.5
SC-8,5.10.1.5
SC-12,5.10.1.5
SC-13,5.10.1.5
SC-16,5.10.1.5
SC-16(1),5.10.1.5
SC-20,5.10.1.5
SC-21,5.10.1.5
SC-22,5.10.1.5
SC-23,5.10.1.5
SC-28,5.10.1.5
SC-28(1),5.10.1.5
SC-28(2),5.10.1.5
SC-32,5.10.1.5
SC-36,5.10.1.5
SC-38,5.10.1.5
SC-43,5.10.1.5
SI-1,5.10.1.5
SI-13,5.10.1.5
SC-2,5.10.3
SI-1,5.10.4
CM-3,5.10.4.1
CM-4,5.10.4.1
CM-4(1),5.10.4.1
CM-8,5.10.4.1
RA-5,5.10.4.1
RA-5(2),5.10.4.1
RA-5(3),5.10.4.1
SA-11,5.10.4.1
SA-11(1),5.10.4.1
SI-2,5.10.4.1
SI-2(2),5.10.4.1
SI-2(3),5.10.4.1
SI-1,5.10.4.1
AC-6,5.10.4.2
MA-3(2),5.10.4.2
MP-7,5.10.4.2
SI-3,5.10.4.2
SI-8,5.10.4.3
SI-8(2),5.10.4.3
SI-5,5.10.4.4
SI-5(1),5.10.4.4
SI-11,5.10.4.4
IR-8,5.10.4.4
SI-10,5.10.4.5
SI-12,5.10.4.5
CA-2,5.11.1
CA-1,5.11.1
CA-7, 5.11.1
CA-2,5.11.1.1
CA-7,5.11.1.1
CA-1,5.11.1.1
CA-2,5.11.1.2
CA-1,5.11.1.2
CA-2,5.11.2
CA-1,5.11.2
CA-2(1),5.11.3
CA-3,5.11.3
CA-5,5.11.3
CA-6,5.11.3
CA-7(1),5.11.3
CM-3(4),5.11.3
CA-2,5.11.4
PS-2,5.12.1
PS-3,5.12.1
PS-3(1),5.12.1
PS-3(2),5.12.1
PS-3(3),5.12.1
PS-6,5.12.1
PS-6(2),5.12.1
PS-7,5.12.1
AC-19(5),5.13.1.2.1
AC-19,5.13.1.2.2
AC-19(5),5.13.1.2.2
AC-18(5),5.13.1.3
AC-18,5.13.1.4
AC-18(1),5.13.1.4
AC-19,5.13.1.4
IA-5,5.13.1.4
IA-5(1),5.13.1.4
SC-40,5.13.1.4
SI-4(14),5.13.1.4
SI-4(15),5.13.1.4
AC-19,5.13.2
AC-19(5),5.13.2
MP-7,5.13.2
AC-19,5.13.3
AC-19(5),5.13.3
CM-1,5.13.4
CM-2,5.13.4
CM-2(3),5.13.4
CM-2(7),5.13.4
CM-3,5.13.4
CM-3(1),5.13.4
CM-3(2),5.13.4
CM-3,5.13.4.1
CM-4,5.13.4.1
CM-4(1),5.13.4.1
RA-5,5.13.4.1
RA-5(2),5.13.4.1
RA-5(3),5.13.4.1
SA-11,5.13.4.1
SA-11(1),5.13.4.1
SI-2,5.13.4.1
SI-2(2),5.13.4.1
SI-2(3),5.13.4.1
AC-6,5.13.4.2
MA-3(2),5.13.4.2
MP-7,5.13.4.2
SI-3,5.13.4.2
SC-18,5.13.4.3
SC-18(1),5.13.4.3
SC-18(2),5.13.4.3
IA-3,5.13.7
IA-5(2),5.13.7
MA-4,5.13.7
SC-37,5.13.7
SC-37(1),5.13.7
IA-1,5.13.7.1
IA-2,5.13.7.1
AC-19,5.13.7.2.1
IA-3,5.13.7.2.1
IA-3(4),5.13.7.2.1
PE-18,5.13.7.2.1
PE-20,5.13.7.2.1
AC-19,5.13.7.3
IA-3,5.13.7.3
IA-3(4),5.13.7.3